Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
United States,USA,"Population, total",SP.POP.TOTL,331577720
United States,USA,Urban population,SP.URB.TOTL,265253727
United States,USA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.9804878048781
United States,USA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,5.5
United States,USA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.6415
United States,USA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,18.8132534
United States,USA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,100.509819030762
United States,USA,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,100.923667907715
United States,USA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.39531993865967
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,21060473613000
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,63515.9491807833
United States,USA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.16302914036166
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.23358439630629
United States,USA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.055
United States,USA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,10.2141055302392
United States,USA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,13.1874574667002
United States,USA,Individuals using the Internet (% of population),IT.NET.USER.ZS,90.3447
United States,USA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
United States,USA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,6141.53125755889
United States,USA,Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),EN.GHG.CO2.IC.MT.CE.AR5,437.4557
Canada,CAN,"Population, total",SP.POP.TOTL,38028638
Canada,CAN,Urban population,SP.URB.TOTL,31164845
Canada,CAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.5351219512195
Canada,CAN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,4.5
Canada,CAN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.41
Canada,CAN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,13.02419472
Canada,CAN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,109.628059387207
Canada,CAN,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Canada,CAN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.88794994354248
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1655684730000.19
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,43537.839298904
Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-5.03823343468899
Canada,CAN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.716999632307827
Canada,CAN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.657
Canada,CAN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,29.4736472349344
Canada,CAN,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,31.6831237283418
Canada,CAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,92.3
Canada,CAN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Canada,CAN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,7495.07932297849
Canada,CAN,Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),EN.GHG.CO2.IC.MT.CE.AR5,62.5624
Mexico,MEX,"Population, total",SP.POP.TOTL,126799054
Mexico,MEX,Urban population,SP.URB.TOTL,99762910
Mexico,MEX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.449
Mexico,MEX,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,11.8
Mexico,MEX,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.99
Mexico,MEX,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.0537405
Mexico,MEX,"School enrollment, secondary (% gross)",SE.SEC.ENRR,102.58154296875
Mexico,MEX,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,102.597717285156
Mexico,MEX,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.49967002868652
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,1121064767308.42
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,8841.27075039868
Mexico,MEX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-8.35403458167995
Mexico,MEX,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.39683415570006
Mexico,MEX,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.44
Mexico,MEX,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,39.2353720904115
Mexico,MEX,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,37.6191836151901
Mexico,MEX,Individuals using the Internet (% of population),IT.NET.USER.ZS,71.4902
Mexico,MEX,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.4
Mexico,MEX,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1366.42722558757
Mexico,MEX,Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),EN.GHG.CO2.IC.MT.CE.AR5,50.8289
Brazil,BRA,"Population, total",SP.POP.TOTL,208660842
Brazil,BRA,Urban population,SP.URB.TOTL,181349681
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.506
Brazil,BRA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,12.8
Brazil,BRA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.653
Brazil,BRA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.62326527
Brazil,BRA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,104.125999450684
Brazil,BRA,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.77150011062622
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1476107292151.95
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,7074.19407495707
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.27675879612903
Brazil,BRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.21176803803376
Brazil,BRA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,13.697
Brazil,BRA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,16.4535520099709
Brazil,BRA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,15.8485265343782
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,81.3427
Brazil,BRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.7
Brazil,BRA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1379.24649914162
Brazil,BRA,Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),EN.GHG.CO2.IC.MT.CE.AR5,78.5424
Argentina,ARG,"Population, total",SP.POP.TOTL,45191965
Argentina,ARG,Urban population,SP.URB.TOTL,41551256
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.878
Argentina,ARG,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,8.7
Argentina,ARG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.601
Argentina,ARG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.45030594
Argentina,ARG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,112.376731872559
Argentina,ARG,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,99.8427784444202
Argentina,ARG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.27689981460571
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,385740508436.965
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,8535.59938004389
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-9.9004848136464
Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,42.0150947376509
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.461
Argentina,ARG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,16.6054144372484
Argentina,ARG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,13.5982843701675
Argentina,ARG,Individuals using the Internet (% of population),IT.NET.USER.ZS,85.5144
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Argentina,ARG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1623.92450833523
Argentina,ARG,Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),EN.GHG.CO2.IC.MT.CE.AR5,19.9692
Chile,CHL,"Population, total",SP.POP.TOTL,19370624
Chile,CHL,Urban population,SP.URB.TOTL,17103360
Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.349
Chile,CHL,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,5.9
Chile,CHL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.307
Chile,CHL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.68910599
Chile,CHL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,103.691688537598
